CBSA Name,Latitude,Longitude,PM25_FRMFEM,AQI_PM25_FRMFEM,PM25_NOFRMFEM,AQI_PM25_NOFRMFEM,PM10,AQI_PM10,CO,AQI_CO,NO2,AQI_NO2,OZONE,AQI_OZONE,SO2,AQI_SO2,id,MetArea,pop2010,landarea,popdense2010,pop_weight2010,alone,alone_frac,carpool,carpool_frac,other,other_frac,pt,pt_frac,total_trans,Precip,Pressure,RH,Site,Temp,Wind
"Ocala, FL",NA,NA,NA,NA,9.3433626125,37.9607843137,NA,NA,NA,NA,NA,NA,0.0258584484182,34.2668500688,NA,NA,36100,Metropolitan Statistical Area,331298.0,1584.5,209.1,824.0,85014.0,0.804021336158,10976.0,0.103805704774,9475.0,0.0896099720058,271.0,0.00256298706212,105736.0,NA,NA,NA,NA,NA,NA
"Olympia, WA",NA,NA,NA,NA,4.5533447645,18.5729537367,NA,NA,NA,NA,NA,NA,0.0211937922078,26.7142857143,NA,NA,36500,Metropolitan Statistical Area,252264.0,722.0,349.4,1702.9,78380.0,0.76645512062,11889.0,0.116259057528,9863.0,0.0964473954412,2131.0,0.0208384264103,102263.0,NA,NA,NA,NA,NA,NA
"Panama City-Lynn Haven, FL",NA,NA,NA,NA,9.89484966201,39.625698324,NA,NA,NA,NA,NA,NA,0.035063771978,37.032967033,NA,NA,37460,Metropolitan Statistical Area,168852.0,758.5,222.6,1496.1,69368.0,0.834421950369,8430.0,0.101403774674,4870.0,0.0585808283113,465.0,0.00559344664574,83133.0,NA,NA,NA,NA,NA,NA
"Payson, AZ",NA,NA,NA,NA,3.40307692308,14.1538461538,25.2129909366,23.0226586103,NA,NA,NA,NA,0.0459666713615,49.2863849765,6.73917097274,53.4390243902,37740,Micropolitan Statistical Area,53597.0,4757.9,11.3,263.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ponca City, OK",NA,NA,NA,NA,9.80141799021,38.9509536785,NA,NA,NA,NA,NA,NA,0.0291707027027,33.0304054054,3.24819969832,14.0810055866,38620,Micropolitan Statistical Area,46562.0,919.7,50.6,844.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Port Angeles, WA",NA,NA,NA,NA,3.4067406438,13.9015317287,NA,NA,0.160235494505,1.82417582418,NA,NA,0.0299835851064,29.5042553191,0.0708615888889,0.0111111111111,38820,Micropolitan Statistical Area,71404.0,1738.3,41.1,893.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pullman, WA",NA,NA,NA,NA,4.3677873549,18.1081081081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39420,Micropolitan Statistical Area,44776.0,2159.1,20.7,2160.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red Bluff, CA",NA,NA,NA,NA,10.1953684284,40.0304878049,17.8305084746,16.4406779661,NA,NA,NA,NA,0.0357093509091,43.28,NA,NA,39780,Micropolitan Statistical Area,63463.0,2949.7,21.5,461.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Roseburg, OR",NA,NA,NA,NA,5.70180693132,23.5702479339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40700,Micropolitan Statistical Area,107667.0,5036.1,21.4,355.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruidoso, NM",NA,NA,NA,NA,3.36601941748,13.4174757282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,Micropolitan Statistical Area,20497.0,4831.1,4.2,120.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
