,CBSA Name,Mode,Total
419,"Albuquerque, NM",Public Transportation,390160.0
420,"Albuquerque, NM",Public Transportation,390160.0
421,"Albuquerque, NM",Drive Alone,390160.0
422,"Albuquerque, NM",Drive Alone,390160.0
423,"Albuquerque, NM",Drive Alone,390160.0
424,"Albuquerque, NM",Drive Alone,390160.0
425,"Albuquerque, NM",Drive Alone,390160.0
426,"Albuquerque, NM",Drive Alone,390160.0
427,"Albuquerque, NM",Drive Alone,390160.0
428,"Albuquerque, NM",Drive Alone,390160.0
429,"Albuquerque, NM",Drive Alone,390160.0
430,"Albuquerque, NM",Drive Alone,390160.0
431,"Albuquerque, NM",Drive Alone,390160.0
432,"Albuquerque, NM",Drive Alone,390160.0
433,"Albuquerque, NM",Drive Alone,390160.0
434,"Albuquerque, NM",Drive Alone,390160.0
435,"Albuquerque, NM",Drive Alone,390160.0
436,"Albuquerque, NM",Drive Alone,390160.0
437,"Albuquerque, NM",Drive Alone,390160.0
438,"Albuquerque, NM",Drive Alone,390160.0
439,"Albuquerque, NM",Drive Alone,390160.0
440,"Albuquerque, NM",Drive Alone,390160.0
441,"Albuquerque, NM",Drive Alone,390160.0
442,"Albuquerque, NM",Drive Alone,390160.0
443,"Albuquerque, NM",Drive Alone,390160.0
444,"Albuquerque, NM",Drive Alone,390160.0
445,"Albuquerque, NM",Drive Alone,390160.0
446,"Albuquerque, NM",Drive Alone,390160.0
447,"Albuquerque, NM",Drive Alone,390160.0
448,"Albuquerque, NM",Drive Alone,390160.0
449,"Albuquerque, NM",Drive Alone,390160.0
450,"Albuquerque, NM",Drive Alone,390160.0
451,"Albuquerque, NM",Drive Alone,390160.0
452,"Albuquerque, NM",Drive Alone,390160.0
453,"Albuquerque, NM",Drive Alone,390160.0
454,"Albuquerque, NM",Drive Alone,390160.0
455,"Albuquerque, NM",Drive Alone,390160.0
456,"Albuquerque, NM",Drive Alone,390160.0
457,"Albuquerque, NM",Drive Alone,390160.0
458,"Albuquerque, NM",Drive Alone,390160.0
459,"Albuquerque, NM",Drive Alone,390160.0
460,"Albuquerque, NM",Drive Alone,390160.0
461,"Albuquerque, NM",Drive Alone,390160.0
462,"Albuquerque, NM",Drive Alone,390160.0
463,"Albuquerque, NM",Drive Alone,390160.0
464,"Albuquerque, NM",Drive Alone,390160.0
465,"Albuquerque, NM",Drive Alone,390160.0
466,"Albuquerque, NM",Drive Alone,390160.0
467,"Albuquerque, NM",Drive Alone,390160.0
468,"Albuquerque, NM",Drive Alone,390160.0
469,"Albuquerque, NM",Drive Alone,390160.0
470,"Albuquerque, NM",Drive Alone,390160.0
471,"Albuquerque, NM",Drive Alone,390160.0
472,"Albuquerque, NM",Drive Alone,390160.0
473,"Albuquerque, NM",Drive Alone,390160.0
474,"Albuquerque, NM",Drive Alone,390160.0
